Description; feature count; accuracy; true positive; false negative; false positive; true negative; false negative rate [%]; false positive rate [%]; AUC
DecisionTreeClassifier(); 462; 0.9765970904490828; 923; 15; 22; 621; 1.60; 3.42; 0.9748969549055433
DecisionTreeClassifier(); 462; 0.9759645793801391; 922; 16; 22; 621; 1.71; 3.42; 0.9743639058650316
DecisionTreeClassifier(criterion='entropy'); 462; 0.9772296015180265; 925; 13; 23; 620; 1.39; 3.58; 0.975185448009895
DecisionTreeClassifier(criterion='log_loss'); 462; 0.9753320683111955; 922; 16; 23; 620; 1.71; 3.58; 0.9735863008883598
DecisionTreeClassifier(); 462; 0.9734345351043643; 918; 20; 22; 621; 2.13; 3.42; 0.9722317097029847
DecisionTreeClassifier(splitter='random'); 462; 0.9765970904490828; 925; 13; 24; 619; 1.39; 3.73; 0.9744078430332231
DecisionTreeClassifier(); 462; 0.9753320683111955; 922; 16; 23; 620; 1.71; 3.58; 0.9735863008883598
DecisionTreeClassifier(max_depth=5); 462; 0.9550917141049968; 935; 3; 68; 575; 0.32; 10.58; 0.9455237144647789
DecisionTreeClassifier(max_depth=10); 462; 0.9772296015180265; 935; 3; 33; 610; 0.32; 5.13; 0.9727398886482937
DecisionTreeClassifier(max_depth=15); 462; 0.9791271347248577; 933; 5; 28; 615; 0.53; 4.35; 0.9755618154506296
RandomForestClassifier(); 462; 0.9848197343453511; 933; 5; 19; 624; 0.53; 2.95; 0.9825602602406762
RandomForestClassifier(n_estimators=50); 462; 0.9848197343453511; 932; 6; 18; 625; 0.64; 2.80; 0.9828048161768363
RandomForestClassifier(); 462; 0.9854522454142948; 933; 5; 18; 625; 0.53; 2.80; 0.9833378652173481
RandomForestClassifier(n_estimators=200); 462; 0.9860847564832385; 933; 5; 17; 626; 0.53; 2.64; 0.9841154701940199
RandomForestClassifier(); 462; 0.9854522454142948; 933; 5; 18; 625; 0.53; 2.80; 0.9833378652173481
RandomForestClassifier(criterion='entropy'); 462; 0.9860847564832385; 933; 5; 17; 626; 0.53; 2.64; 0.9841154701940199
RandomForestClassifier(criterion='log_loss'); 462; 0.9848197343453511; 933; 5; 19; 624; 0.53; 2.95; 0.9825602602406762
RandomForestClassifier(); 462; 0.9848197343453511; 933; 5; 19; 624; 0.53; 2.95; 0.9825602602406762
RandomForestClassifier(max_depth=5); 462; 0.9234661606578115; 934; 4; 117; 526; 0.43; 18.20; 0.9068880215673466
RandomForestClassifier(max_depth=10); 462; 0.9715370018975332; 933; 5; 40; 603; 0.53; 6.22; 0.9662305557305674
RandomForestClassifier(max_depth=15); 462; 0.9746995572422518; 933; 5; 35; 608; 0.53; 5.44; 0.9701185806139265
MLPClassifier(); 462; 0.9816571790006325; 929; 9; 20; 623; 0.96; 3.11; 0.9796504591019575
MLPClassifier(hidden_layer_sizes=(50,)); 462; 0.9816571790006325; 927; 11; 18; 625; 1.17; 2.80; 0.9801395709742777
MLPClassifier(); 462; 0.9822896900695762; 928; 10; 18; 625; 1.07; 2.80; 0.9806726200147894
MLPClassifier(hidden_layer_sizes=(50, 50)); 462; 0.9835547122074636; 928; 10; 16; 627; 1.07; 2.49; 0.982227829968133
MLPClassifier(hidden_layer_sizes=(100, 50)); 462; 0.9829222011385199; 931; 7; 20; 623; 0.75; 3.11; 0.9807165571829808
