Description; feature count; accuracy; true positive; false negative; false positive; true negative; false negative rate [%]; false positive rate [%]; AUC
DecisionTreeClassifier(class_weight='balanced', max_features=100,
                       min_samples_leaf=4, min_samples_split=4)+GridSearchCV; 462; 0.9690; 619; 24; 25; 913; 3.73; 2.67; 0.9680
SVC(C=0.1, class_weight={0: 1, 1: 5}, degree=2, gamma='auto', kernel='sigmoid')+GridSearchCV; 462; 0.9798; 626; 17; 15; 923; 2.64; 1.60; 0.9788
KNeighborsClassifier(n_neighbors=7, weights='distance')+GridSearchCV; 462; 0.9127; 512; 131; 7; 931; 20.37; 0.75; 0.8944
BernoulliNB(alpha=0.1, binarize=0.5)+GridSearchCV; 462; 0.9810; 619; 24; 6; 932; 3.73; 0.64; 0.9781
