Description; feature count; accuracy; true positive; false negative; false positive; true negative; false negative rate [%]; false positive rate [%]; AUC
KNeighborsClassifier(); 462; 0.9209; 526; 117; 8; 930; 18.20; 0.85; 0.9048
KNeighborsClassifier(weights='distance'); 462; 0.9279; 535; 108; 6; 932; 16.80; 0.64; 0.9128
KNeighborsClassifier(); 462; 0.9209; 526; 117; 8; 930; 18.20; 0.85; 0.9048
KNeighborsClassifier(algorithm='ball_tree'); 462; 0.9209; 526; 117; 8; 930; 18.20; 0.85; 0.9048
KNeighborsClassifier(algorithm='kd_tree'); 462; 0.9203; 525; 118; 8; 930; 18.35; 0.85; 0.9040
KNeighborsClassifier(algorithm='brute'); 462; 0.9209; 526; 117; 8; 930; 18.20; 0.85; 0.9048
KNeighborsClassifier(p=1); 462; 0.9165; 515; 128; 4; 934; 19.91; 0.43; 0.8983
KNeighborsClassifier(); 462; 0.9209; 526; 117; 8; 930; 18.20; 0.85; 0.9048
BernoulliNB(); 462; 0.9791; 616; 27; 6; 932; 4.20; 0.64; 0.9758
BernoulliNB(alpha=0.1); 462; 0.9810; 619; 24; 6; 932; 3.73; 0.64; 0.9781
BernoulliNB(alpha=0.5); 462; 0.9791; 616; 27; 6; 932; 4.20; 0.64; 0.9758
BernoulliNB(); 462; 0.9791; 616; 27; 6; 932; 4.20; 0.64; 0.9758
BernoulliNB(binarize=0.5); 462; 0.9791; 616; 27; 6; 932; 4.20; 0.64; 0.9758
BernoulliNB(); 462; 0.9791; 616; 27; 6; 932; 4.20; 0.64; 0.9758
BernoulliNB(fit_prior=False); 462; 0.9791; 616; 27; 6; 932; 4.20; 0.64; 0.9758
