Description; feature count; accuracy; true positive; false negative; false positive; true negative; false negative rate [%]; false positive rate [%]; AUC
DecisionTreeClassifier(class_weight={0: 5, 1: 1}, criterion='log_loss',
                       max_depth=15)+GridSearchCV; 462; 0.9766; 609; 34; 3; 935; 5.29; 0.32; 0.9720
SVC(C=0.1, class_weight={0: 1, 1: 5}, degree=2, kernel='sigmoid')+GridSearchCV; 462; 0.9798; 626; 17; 15; 923; 2.64; 1.60; 0.9788
KNeighborsClassifier(algorithm='ball_tree', n_neighbors=3, weights='distance')+GridSearchCV; 462; 0.9431; 562; 81; 9; 929; 12.60; 0.96; 0.9322
BernoulliNB(alpha=0.1, binarize=0.5, fit_prior=False)+GridSearchCV; 462; 0.9817; 620; 23; 6; 932; 3.58; 0.64; 0.9789
