Description; feature count; accuracy; true positive; false negative; false positive; true negative; false negative rate [%]; false positive rate [%]; AUC
DecisionTreeClassifier(); 462; 0.9759645793801391; 925; 13; 25; 618; 1.39; 3.89; 0.9736302380565512
DecisionTreeClassifier(); 462; 0.9740670461733081; 920; 18; 23; 620; 1.92; 3.58; 0.9725202028073363
DecisionTreeClassifier(criterion='entropy'); 462; 0.9746995572422518; 923; 15; 25; 618; 1.60; 3.89; 0.9725641399755277
DecisionTreeClassifier(criterion='log_loss'); 462; 0.9778621125869703; 927; 11; 24; 619; 1.17; 3.73; 0.9754739411142466
DecisionTreeClassifier(); 462; 0.9765970904490828; 923; 15; 22; 621; 1.60; 3.42; 0.9748969549055433
DecisionTreeClassifier(splitter='random'); 462; 0.9759645793801391; 923; 15; 23; 620; 1.60; 3.58; 0.9741193499288715
DecisionTreeClassifier(); 462; 0.9765970904490828; 924; 14; 23; 620; 1.49; 3.58; 0.9746523989693833
DecisionTreeClassifier(max_depth=5); 462; 0.9550917141049968; 935; 3; 68; 575; 0.32; 10.58; 0.9455237144647789
DecisionTreeClassifier(max_depth=10); 462; 0.9765970904490828; 935; 3; 34; 609; 0.32; 5.29; 0.9719622836716219
DecisionTreeClassifier(max_depth=15); 462; 0.9791271347248577; 934; 4; 29; 614; 0.43; 4.51; 0.9753172595144695
DecisionTreeClassifier(); 462; 0.9746995572422518; 923; 15; 25; 618; 1.60; 3.89; 0.9725641399755277
DecisionTreeClassifier(min_samples_split=4); 462; 0.9803921568627451; 929; 9; 22; 621; 0.96; 3.42; 0.9780952491486138
DecisionTreeClassifier(min_samples_split=6); 462; 0.9810246679316889; 926; 12; 18; 625; 1.28; 2.80; 0.979606521933766
DecisionTreeClassifier(); 462; 0.9746995572422518; 921; 17; 23; 620; 1.81; 3.58; 0.9730532518478482
DecisionTreeClassifier(min_samples_leaf=2); 462; 0.9765970904490828; 930; 8; 29; 614; 0.85; 4.51; 0.9731850633524225
DecisionTreeClassifier(min_samples_leaf=4); 462; 0.9728020240354206; 927; 11; 32; 611; 1.17; 4.98; 0.9692531013008718
DecisionTreeClassifier(min_samples_leaf=6); 462; 0.9734345351043643; 925; 13; 29; 614; 1.39; 4.51; 0.9705198181498639
DecisionTreeClassifier(max_features='sqrt'); 462; 0.9734345351043643; 926; 12; 30; 613; 1.28; 4.67; 0.9702752622137037
DecisionTreeClassifier(max_features='log2'); 462; 0.9709044908285895; 926; 12; 34; 609; 1.28; 5.29; 0.9671648423070163
DecisionTreeClassifier(); 462; 0.978494623655914; 924; 14; 20; 623; 1.49; 3.11; 0.9769852138993987
DecisionTreeClassifier(max_features=1); 462; 0.9601518026565465; 925; 13; 50; 593; 1.39; 7.78; 0.9541901136397551
DecisionTreeClassifier(max_features=5); 462; 0.9639468690702088; 919; 19; 38; 605; 2.03; 5.91; 0.9603230791167469
DecisionTreeClassifier(max_features=25); 462; 0.9702719797596457; 925; 13; 34; 609; 1.39; 5.29; 0.9666317932665046
DecisionTreeClassifier(max_features=100); 462; 0.9683744465528147; 922; 16; 34; 609; 1.71; 5.29; 0.9650326461449694
DecisionTreeClassifier(); 462; 0.9772296015180265; 924; 14; 22; 621; 1.49; 3.42; 0.9754300039460551
DecisionTreeClassifier(class_weight='balanced'); 462; 0.9645793801391525; 920; 18; 38; 605; 1.92; 5.91; 0.9608561281572585
DecisionTreeClassifier(class_weight={0: 1, 1: 2}); 462; 0.9664769133459835; 925; 13; 40; 603; 1.39; 6.22; 0.9619661634064736
DecisionTreeClassifier(class_weight={0: 2, 1: 1}); 462; 0.9765970904490828; 924; 14; 23; 620; 1.49; 3.58; 0.9746523989693833
DecisionTreeClassifier(class_weight={0: 1, 1: 5}); 462; 0.9607843137254902; 913; 25; 37; 606; 2.67; 5.75; 0.9579023898503485
DecisionTreeClassifier(class_weight={0: 5, 1: 1}); 462; 0.9753320683111955; 927; 11; 28; 615; 1.17; 4.35; 0.9723635212075592
RandomForestClassifier(); 462; 0.9854522454142948; 933; 5; 18; 625; 0.53; 2.80; 0.9833378652173481
RandomForestClassifier(n_estimators=50); 462; 0.9860847564832385; 934; 4; 18; 625; 0.43; 2.80; 0.9838709142578599
RandomForestClassifier(); 462; 0.9854522454142948; 933; 5; 18; 625; 0.53; 2.80; 0.9833378652173481
RandomForestClassifier(n_estimators=200); 462; 0.9854522454142948; 933; 5; 18; 625; 0.53; 2.80; 0.9833378652173481
RandomForestClassifier(); 462; 0.9848197343453511; 933; 5; 19; 624; 0.53; 2.95; 0.9825602602406762
RandomForestClassifier(criterion='entropy'); 462; 0.9854522454142948; 933; 5; 18; 625; 0.53; 2.80; 0.9833378652173481
RandomForestClassifier(criterion='log_loss'); 462; 0.9848197343453511; 934; 4; 20; 623; 0.43; 3.11; 0.9823157043045161
RandomForestClassifier(); 462; 0.9854522454142948; 933; 5; 18; 625; 0.53; 2.80; 0.9833378652173481
RandomForestClassifier(max_depth=5); 462; 0.9253636938646427; 935; 3; 115; 528; 0.32; 17.88; 0.9089762805612019
RandomForestClassifier(max_depth=10); 462; 0.9709044908285895; 933; 5; 41; 602; 0.53; 6.38; 0.9654529507538955
RandomForestClassifier(max_depth=15); 462; 0.9772296015180265; 933; 5; 31; 612; 0.53; 4.82; 0.973229000520614
RandomForestClassifier(); 462; 0.9854522454142948; 933; 5; 18; 625; 0.53; 2.80; 0.9833378652173481
RandomForestClassifier(min_samples_split=4); 462; 0.9841872232764073; 932; 6; 19; 624; 0.64; 2.95; 0.9820272112001645
RandomForestClassifier(min_samples_split=6); 462; 0.9841872232764073; 931; 7; 18; 625; 0.75; 2.80; 0.9822717671363246
RandomForestClassifier(); 462; 0.9848197343453511; 933; 5; 19; 624; 0.53; 2.95; 0.9825602602406762
RandomForestClassifier(min_samples_leaf=2); 462; 0.9810246679316889; 932; 6; 24; 619; 0.64; 3.73; 0.9781391863168052
RandomForestClassifier(min_samples_leaf=4); 462; 0.9810246679316889; 931; 7; 23; 620; 0.75; 3.58; 0.9783837422529654
RandomForestClassifier(min_samples_leaf=6); 462; 0.9765970904490828; 932; 6; 31; 612; 0.64; 4.82; 0.9726959514801022
RandomForestClassifier(); 462; 0.9860847564832385; 933; 5; 17; 626; 0.53; 2.64; 0.9841154701940199
RandomForestClassifier(max_features='log2'); 462; 0.9835547122074636; 933; 5; 21; 622; 0.53; 3.27; 0.9810050502873326
RandomForestClassifier(max_features=None); 462; 0.9772296015180265; 924; 14; 22; 621; 1.49; 3.42; 0.9754300039460551
RandomForestClassifier(max_features=1); 462; 0.9816571790006325; 934; 4; 25; 618; 0.43; 3.89; 0.9784276794211567
RandomForestClassifier(max_features=5); 462; 0.9835547122074636; 934; 4; 22; 621; 0.43; 3.42; 0.9807604943511723
RandomForestClassifier(max_features=25); 462; 0.9848197343453511; 933; 5; 19; 624; 0.53; 2.95; 0.9825602602406762
RandomForestClassifier(max_features=100); 462; 0.9816571790006325; 930; 8; 21; 622; 0.85; 3.27; 0.9794059031657973
RandomForestClassifier(); 462; 0.9860847564832385; 933; 5; 17; 626; 0.53; 2.64; 0.9841154701940199
RandomForestClassifier(class_weight='balanced'); 462; 0.9860847564832385; 933; 5; 17; 626; 0.53; 2.64; 0.9841154701940199
RandomForestClassifier(class_weight={0: 1, 1: 2}); 462; 0.9848197343453511; 933; 5; 19; 624; 0.53; 2.95; 0.9825602602406762
RandomForestClassifier(class_weight={0: 2, 1: 1}); 462; 0.9854522454142948; 932; 6; 17; 626; 0.64; 2.64; 0.9835824211535081
RandomForestClassifier(class_weight={0: 1, 1: 5}); 462; 0.9848197343453511; 934; 4; 20; 623; 0.43; 3.11; 0.9823157043045161
RandomForestClassifier(class_weight={0: 5, 1: 1}); 462; 0.9867172675521821; 933; 5; 16; 627; 0.53; 2.49; 0.9848930751706918
MLPClassifier(); 462; 0.9835547122074636; 927; 11; 15; 628; 1.17; 2.33; 0.9824723859042932
MLPClassifier(hidden_layer_sizes=(50,)); 462; 0.9816571790006325; 926; 12; 17; 626; 1.28; 2.64; 0.9803841269104377
MLPClassifier(); 462; 0.9835547122074636; 926; 12; 14; 629; 1.28; 2.18; 0.9827169418404534
MLPClassifier(hidden_layer_sizes=(50, 50)); 462; 0.9822896900695762; 928; 10; 18; 625; 1.07; 2.80; 0.9806726200147894
MLPClassifier(hidden_layer_sizes=(100, 50)); 462; 0.9835547122074636; 929; 9; 17; 626; 0.96; 2.64; 0.981983274031973
MLPClassifier(); 462; 0.9822896900695762; 924; 14; 14; 629; 1.49; 2.18; 0.9816508437594298
MLPClassifier(activation='logistic'); 462; 0.9810246679316889; 926; 12; 18; 625; 1.28; 2.80; 0.979606521933766
MLPClassifier(activation='tanh'); 462; 0.9765970904490828; 923; 15; 22; 621; 1.60; 3.42; 0.9748969549055433
MLPClassifier(solver='lbfgs'); 462; 0.9778621125869703; 924; 14; 21; 622; 1.49; 3.27; 0.976207608922727
MLPClassifier(); 462; 0.9829222011385199; 926; 12; 15; 628; 1.28; 2.33; 0.9819393368637815
MLPClassifier(); 462; 0.9822896900695762; 927; 11; 17; 626; 1.17; 2.64; 0.9809171759509495
MLPClassifier(alpha=0.001); 462; 0.9835547122074636; 926; 12; 14; 629; 1.28; 2.18; 0.9827169418404534
MLPClassifier(alpha=0.01); 462; 0.9835547122074636; 931; 7; 19; 624; 0.75; 2.95; 0.9814941621596527
MLPClassifier(); 462; 0.9816571790006325; 927; 11; 18; 625; 1.17; 2.80; 0.9801395709742777
MLPClassifier(learning_rate='invscaling'); 462; 0.9803921568627451; 929; 9; 22; 621; 0.96; 3.42; 0.9780952491486138
MLPClassifier(learning_rate='adaptive'); 462; 0.9803921568627451; 925; 13; 18; 625; 1.39; 2.80; 0.9790734728932543
MLPClassifier(max_iter=100); 462; 0.9822896900695762; 926; 12; 16; 627; 1.28; 2.49; 0.9811617318871096
MLPClassifier(); 462; 0.9810246679316889; 924; 14; 16; 627; 1.49; 2.49; 0.9800956338060861
MLPClassifier(max_iter=300); 462; 0.9829222011385199; 926; 12; 15; 628; 1.28; 2.33; 0.9819393368637815
SVC(); 462; 0.9759645793801391; 925; 13; 25; 618; 1.39; 3.89; 0.9736302380565512
SVC(C=0.1); 462; 0.9443390259329538; 907; 31; 57; 586; 3.30; 8.86; 0.9391519960738409
SVC(C=1); 462; 0.9759645793801391; 925; 13; 25; 618; 1.39; 3.89; 0.9736302380565512
SVC(C=10); 462; 0.9791271347248577; 925; 13; 20; 623; 1.39; 3.11; 0.9775182629399105
SVC(kernel='linear'); 462; 0.9715370018975332; 922; 16; 29; 614; 1.71; 4.51; 0.9689206710283287
SVC(); 462; 0.9759645793801391; 925; 13; 25; 618; 1.39; 3.89; 0.9736302380565512
SVC(kernel='poly'); 462; 0.8323845667299178; 937; 1; 264; 379; 0.11; 41.06; 0.7941792371181198
SVC(kernel='sigmoid'); 462; 0.9765970904490828; 931; 7; 30; 613; 0.75; 4.67; 0.9729405074162623
SVC(degree=2); 462; 0.9759645793801391; 925; 13; 25; 618; 1.39; 3.89; 0.9736302380565512
SVC(); 462; 0.9759645793801391; 925; 13; 25; 618; 1.39; 3.89; 0.9736302380565512
SVC(degree=4); 462; 0.9759645793801391; 925; 13; 25; 618; 1.39; 3.89; 0.9736302380565512
SVC(); 462; 0.9759645793801391; 925; 13; 25; 618; 1.39; 3.89; 0.9736302380565512
SVC(gamma='auto'); 462; 0.9759645793801391; 925; 13; 25; 618; 1.39; 3.89; 0.9736302380565512
SVC(gamma=0.1); 462; 0.8741302972802024; 742; 196; 3; 640; 20.90; 0.47; 0.893189573129686
SVC(gamma=1); 462; 0.8197343453510436; 655; 283; 2; 641; 30.17; 0.31; 0.8475919115818376
SVC(); 462; 0.9759645793801391; 925; 13; 25; 618; 1.39; 3.89; 0.9736302380565512
SVC(class_weight='balanced'); 462; 0.9746995572422518; 921; 17; 23; 620; 1.81; 3.58; 0.9730532518478482
SVC(class_weight={0: 1, 1: 2}); 462; 0.9778621125869703; 923; 15; 20; 623; 1.60; 3.11; 0.976452164858887
SVC(class_weight={0: 2, 1: 1}); 462; 0.9765970904490828; 928; 10; 27; 616; 1.07; 4.20; 0.9736741752247428
SVC(class_weight={0: 1, 1: 5}); 462; 0.9765970904490828; 917; 21; 16; 627; 2.24; 2.49; 0.9763642905225042
SVC(class_weight={0: 5, 1: 1}); 462; 0.9772296015180265; 930; 8; 28; 615; 0.85; 4.35; 0.9739626683290944
LinearRegression(); 462; 0.9620493358633776; 933; 5; 55; 588; 0.53; 8.55; 0.9545664810804896
LinearRegression(); 462; 0.9620493358633776; 933; 5; 55; 588; 0.53; 8.55; 0.9545664810804896
LinearRegression(fit_intercept=False); 462; 0.8431372549019608; 935; 3; 245; 398; 0.32; 38.10; 0.8078876335938614
LinearRegression(positive=True); 462; 0.9671094244149273; 933; 5; 47; 596; 0.53; 7.31; 0.9607873208938644
LinearRegression(); 462; 0.9620493358633776; 933; 5; 55; 588; 0.53; 8.55; 0.9545664810804896
LinearRegression(); 462; 0.9620493358633776; 933; 5; 55; 588; 0.53; 8.55; 0.9545664810804896
LinearRegression(n_jobs=-1); 462; 0.9620493358633776; 933; 5; 55; 588; 0.53; 8.55; 0.9545664810804896
KNeighborsClassifier(); 462; 0.9209361163820367; 930; 8; 117; 526; 0.85; 18.20; 0.9047558254052996
KNeighborsClassifier(n_neighbors=3); 462; 0.937381404174573; 928; 10; 89; 554; 1.07; 13.84; 0.925462666671088
KNeighborsClassifier(); 462; 0.9209361163820367; 930; 8; 117; 526; 0.85; 18.20; 0.9047558254052996
KNeighborsClassifier(n_neighbors=7); 462; 0.8994307400379506; 929; 9; 150; 493; 0.96; 23.33; 0.8785618121346168
KNeighborsClassifier(); 462; 0.9209361163820367; 930; 8; 117; 526; 0.85; 18.20; 0.9047558254052996
KNeighborsClassifier(weights='distance'); 462; 0.9278937381404174; 932; 6; 108; 535; 0.64; 16.80; 0.9128203682763698
KNeighborsClassifier(); 462; 0.9209361163820367; 930; 8; 117; 526; 0.85; 18.20; 0.9047558254052996
KNeighborsClassifier(algorithm='ball_tree'); 462; 0.9209361163820367; 930; 8; 117; 526; 0.85; 18.20; 0.9047558254052996
KNeighborsClassifier(algorithm='kd_tree'); 462; 0.920303605313093; 930; 8; 118; 525; 0.85; 18.35; 0.9039782204286279
KNeighborsClassifier(algorithm='brute'); 462; 0.9209361163820367; 930; 8; 117; 526; 0.85; 18.20; 0.9047558254052996
KNeighborsClassifier(p=1); 462; 0.9165085388994307; 934; 4; 128; 515; 0.43; 19.91; 0.8983343668239562
KNeighborsClassifier(); 462; 0.9209361163820367; 930; 8; 117; 526; 0.85; 18.20; 0.9047558254052996
BernoulliNB(); 462; 0.9791271347248577; 932; 6; 27; 616; 0.64; 4.20; 0.9758063713867897
BernoulliNB(alpha=0.1); 462; 0.9810246679316889; 932; 6; 24; 619; 0.64; 3.73; 0.9781391863168052
BernoulliNB(alpha=0.5); 462; 0.9791271347248577; 932; 6; 27; 616; 0.64; 4.20; 0.9758063713867897
BernoulliNB(); 462; 0.9791271347248577; 932; 6; 27; 616; 0.64; 4.20; 0.9758063713867897
BernoulliNB(binarize=0.5); 462; 0.9791271347248577; 932; 6; 27; 616; 0.64; 4.20; 0.9758063713867897
BernoulliNB(); 462; 0.9791271347248577; 932; 6; 27; 616; 0.64; 4.20; 0.9758063713867897
BernoulliNB(fit_prior=False); 462; 0.9791271347248577; 932; 6; 27; 616; 0.64; 4.20; 0.9758063713867897
