Description; feature count; accuracy; true positive; false negative; false positive; true negative; false negative rate [%]; false positive rate [%]; AUC
LinearRegression(); 462; 0.9620493358633776; 933; 5; 55; 588; 0.53; 8.55; 0.9545664810804896
LinearRegression(); 462; 0.9620493358633776; 933; 5; 55; 588; 0.53; 8.55; 0.9545664810804896
LinearRegression(fit_intercept=False); 462; 0.8431372549019608; 935; 3; 245; 398; 0.32; 38.10; 0.8078876335938614
LinearRegression(positive=True); 462; 0.9671094244149273; 933; 5; 47; 596; 0.53; 7.31; 0.9607873208938644
LinearRegression(); 462; 0.9620493358633776; 933; 5; 55; 588; 0.53; 8.55; 0.9545664810804896
LinearRegression(); 462; 0.9620493358633776; 933; 5; 55; 588; 0.53; 8.55; 0.9545664810804896
LinearRegression(n_jobs=-1); 462; 0.9620493358633776; 933; 5; 55; 588; 0.53; 8.55; 0.9545664810804896
KNeighborsClassifier(); 462; 0.9209361163820367; 930; 8; 117; 526; 0.85; 18.20; 0.9047558254052996
KNeighborsClassifier(n_neighbors=3); 462; 0.937381404174573; 928; 10; 89; 554; 1.07; 13.84; 0.925462666671088
KNeighborsClassifier(); 462; 0.9209361163820367; 930; 8; 117; 526; 0.85; 18.20; 0.9047558254052996
KNeighborsClassifier(n_neighbors=7); 462; 0.8994307400379506; 929; 9; 150; 493; 0.96; 23.33; 0.8785618121346168
KNeighborsClassifier(); 462; 0.9209361163820367; 930; 8; 117; 526; 0.85; 18.20; 0.9047558254052996
KNeighborsClassifier(weights='distance'); 462; 0.9278937381404174; 932; 6; 108; 535; 0.64; 16.80; 0.9128203682763698
KNeighborsClassifier(); 462; 0.9209361163820367; 930; 8; 117; 526; 0.85; 18.20; 0.9047558254052996
KNeighborsClassifier(algorithm='ball_tree'); 462; 0.9209361163820367; 930; 8; 117; 526; 0.85; 18.20; 0.9047558254052996
KNeighborsClassifier(algorithm='kd_tree'); 462; 0.920303605313093; 930; 8; 118; 525; 0.85; 18.35; 0.9039782204286279
KNeighborsClassifier(algorithm='brute'); 462; 0.9209361163820367; 930; 8; 117; 526; 0.85; 18.20; 0.9047558254052996
KNeighborsClassifier(p=1); 462; 0.9165085388994307; 934; 4; 128; 515; 0.43; 19.91; 0.8983343668239562
KNeighborsClassifier(); 462; 0.9209361163820367; 930; 8; 117; 526; 0.85; 18.20; 0.9047558254052996
BernoulliNB(); 462; 0.9791271347248577; 932; 6; 27; 616; 0.64; 4.20; 0.9758063713867897
BernoulliNB(alpha=0.1); 462; 0.9810246679316889; 932; 6; 24; 619; 0.64; 3.73; 0.9781391863168052
BernoulliNB(alpha=0.5); 462; 0.9791271347248577; 932; 6; 27; 616; 0.64; 4.20; 0.9758063713867897
BernoulliNB(); 462; 0.9791271347248577; 932; 6; 27; 616; 0.64; 4.20; 0.9758063713867897
BernoulliNB(binarize=0.5); 462; 0.9791271347248577; 932; 6; 27; 616; 0.64; 4.20; 0.9758063713867897
BernoulliNB(); 462; 0.9791271347248577; 932; 6; 27; 616; 0.64; 4.20; 0.9758063713867897
BernoulliNB(fit_prior=False); 462; 0.9791271347248577; 932; 6; 27; 616; 0.64; 4.20; 0.9758063713867897
